country_iso,year,GDP,inflation,population,unemployment
AFG,1980,NA,NA,NA,NA
AFG,1981,NA,NA,NA,NA
AFG,1982,NA,NA,NA,NA
AFG,1983,NA,NA,NA,NA
AFG,1984,NA,NA,NA,NA
AFG,1985,NA,NA,NA,NA
AFG,1986,NA,NA,NA,NA
AFG,1987,NA,NA,NA,NA
AFG,1988,NA,NA,NA,NA
AFG,1989,NA,NA,NA,NA
AFG,1990,NA,NA,NA,NA
AFG,1991,NA,NA,NA,NA
AFG,1992,NA,NA,NA,NA
AFG,1993,NA,NA,NA,NA
AFG,1994,NA,NA,NA,NA
AFG,1995,NA,NA,NA,NA
AFG,1996,NA,NA,NA,NA
AFG,1997,NA,NA,NA,NA
AFG,1998,NA,NA,NA,NA
AFG,1999,NA,NA,NA,NA
AFG,2000,NA,NA,NA,NA
AFG,2001,NA,NA,NA,NA
AFG,2002,4.367,31.263,18.707,NA
AFG,2003,4.553,42.413,19.477,NA
AFG,2004,5.146,49.351,20.237,NA
AFG,2005,6.167,54.566,20.947,NA
AFG,2006,6.925,58.269,21.596,NA
AFG,2007,8.556,63.327,22.426,NA
AFG,2008,10.297,80.057,22.997,NA
AFG,2009,12.066,74.604,23.596,NA
AFG,2010,15.325,76.229,24.269,NA
AFG,2011,17.89,85.227,25.031,NA
AFG,2012,20.293,90.71700000000001,25.864,NA
AFG,2013,20.17,97.417,26.736,NA
AFG,2014,20.616,101.97,27.601,NA
AFG,2015,20.057,101.296,28.425,NA
AFG,2016,18.02,105.736,29.2,NA
AFG,2017,18.883,110.998,29.7,NA
AFG,2018,18.401,111.693,31.6,NA
AFG,2019,18.876,114.264,32.2,NA
AFG,2020,20.136,120.671,32.941,NA
AFG,2021,NA,NA,NA,NA
ALB,1980,1.946,NA,2.672,5.028
ALB,1981,2.229,NA,2.726,4.224
ALB,1982,2.296,NA,2.784,2.813
ALB,1983,2.319,NA,2.844,3.335
ALB,1984,2.29,NA,2.904,4.41
ALB,1985,2.339,NA,2.965,5.853
ALB,1986,2.587,NA,3.023,5.43
ALB,1987,2.566,NA,3.084,5.164
ALB,1988,2.53,NA,3.142,6.033
ALB,1989,2.779,3.391,3.228,6.721
ALB,1990,2.221,3.385,3.287,8.457
ALB,1991,1.333,4.594,3.267,8.9
ALB,1992,0.8429999999999999,14.976,3.247,26.5
ALB,1993,1.461,27.706,3.227,22.3
ALB,1994,2.361,33.958,3.208,18.4
ALB,1995,2.882,36.605,3.188,12.9
ALB,1996,3.2,41.266,3.168,12.3
ALB,1997,2.259,54.953,3.148,14.9
ALB,1998,2.56,66.298,3.129,17.7
ALB,1999,3.209,66.556,3.109,18.4
ALB,2000,3.483,66.582,3.089,16.8
ALB,2001,3.928,68.66,3.06,16.44
ALB,2002,4.348,72.23099999999998,3.051,15.751
ALB,2003,5.611,73.938,3.04,15
ALB,2004,7.185,76.058,3.027,14.4
ALB,2005,8.051999999999998,77.855,3.011,14.1
ALB,2006,8.896,79.7,2.993,13.8
ALB,2007,10.677,82.05899999999998,2.97,13.4
ALB,2008,12.881,84.775,2.947,13.1
ALB,2009,12.044,86.667,2.928,13.8
ALB,2010,11.937,89.79999999999998,2.913,14
ALB,2011,12.899,92.892,2.905,14
ALB,2012,12.324,94.783,2.9,13.4
ALB,2013,12.784,96.608,2.895,15.9
ALB,2014,13.246,98.167,2.889,17.5
ALB,2015,11.389,100,2.881,17.1
ALB,2016,11.862,101.287,2.876,15.2
ALB,2017,13.053,103.297,2.884,13.7
ALB,2018,15.157,105.393,2.883,12.3
ALB,2019,15.399,106.88,2.881,11.47
ALB,2020,15.161,108.613,2.878,11.675
ALB,2021,18.31,110.831,2.873,10.6
DZA,1980,42.346,8.974999999999998,18.666,15.789
DZA,1981,44.372,10.286,19.246,15.385
DZA,1982,44.78,10.964,19.864,15
DZA,1983,47.529,11.823,20.516,14.286
DZA,1984,51.513,12.569,21.175,16.536
DZA,1985,61.132,13.88,22.2,16.901
DZA,1986,61.535,15.824,22.8,18.356
DZA,1987,63.3,16.751,23.4,20.056
DZA,1988,51.664,17.746,24.1,21.801
DZA,1989,52.558,19.373,24.7,18.1
DZA,1990,61.892,21.17,25.022,19.757
DZA,1991,46.67,26.652,25.643,20.263
DZA,1992,49.217,35.101,26.271,21.368
DZA,1993,50.963,42.297,26.894,23.152
DZA,1994,42.426,54.563,27.496,24.362
DZA,1995,42.066,70.823,28.06,28.105
DZA,1996,46.941,84.06699999999998,28.566,27.986
DZA,1997,48.178,88.85899999999998,29.045,27.961
DZA,1998,48.188,93.258,29.507,28.021
DZA,1999,48.845,95.682,29.965,29.293
DZA,2000,54.749,95.969,30.506,29.496
DZA,2001,54.745,100,30.954,27.306
DZA,2002,56.761,101.433,31.414,25.664
DZA,2003,67.864,105.755,31.885,23.716
DZA,2004,85.33199999999998,109.952,32.366,17.656
DZA,2005,103.198,111.472,32.855,15.265
DZA,2006,117.027,114.048,33.351,12.512
DZA,2007,134.977,118.244,33.858,13.793
DZA,2008,171.001,123.985,34.591,11.343
DZA,2009,137.211,131.103,35.268,10.167
DZA,2010,161.207,136.23,35.978,9.961
DZA,2011,200.02,142.36,36.717,9.971
DZA,2012,209.059,155.053,37.495,10.969
DZA,2013,209.755,160.1,38.297,9.829
DZA,2014,213.81,164.77,39.114,10.6
DZA,2015,165.979,172.653,39.963,11.214
DZA,2016,160.034,183.699,40.836,10.498
DZA,2017,170.207,193.97,41.721,11.709
DZA,2018,175.372,202.253,42.578,11.731
DZA,2019,171.68,206.2,43.424,11.383
DZA,2020,144.922,211.18,43.851,NA
DZA,2021,162.711,226.44,44.462,NA
AND,1980,NA,NA,NA,NA
AND,1981,NA,NA,NA,NA
AND,1982,NA,NA,NA,NA
AND,1983,NA,NA,NA,NA
AND,1984,NA,NA,NA,NA
AND,1985,NA,NA,NA,NA
AND,1986,NA,NA,NA,NA
AND,1987,NA,NA,NA,NA
AND,1988,NA,NA,NA,NA
AND,1989,NA,NA,NA,NA
AND,1990,NA,NA,NA,NA
AND,1991,NA,NA,NA,NA
AND,1992,NA,NA,NA,NA
AND,1993,NA,NA,NA,NA
AND,1994,NA,NA,NA,NA
AND,1995,NA,NA,NA,NA
AND,1996,NA,NA,NA,NA
AND,1997,NA,NA,NA,NA
AND,1998,NA,NA,NA,NA
AND,1999,NA,NA,NA,NA
AND,2000,1.429,NA,NA,NA
AND,2001,1.547,75.028,NA,NA
AND,2002,1.758,77.375,NA,NA
AND,2003,2.362,79.741,NA,NA
AND,2004,2.896,82.05599999999998,NA,NA
AND,2005,3.158,84.95099999999998,NA,NA
AND,2006,3.456,88.081,NA,NA
AND,2007,3.952,90.423,NA,NA
AND,2008,4.082,94.353,NA,NA
AND,2009,3.675,93.204,NA,NA
AND,2010,3.446,94.798,0.07,3.225
AND,2011,3.625,97.215,0.07,3.975
AND,2012,3.189,98.642,0.07,6.175
AND,2013,3.193,99.108,0.07,6.325
AND,2014,3.267,99.013,0.071,5.8
AND,2015,2.789,97.891,0.072,3.575
AND,2016,2.895,97.477,0.07299999999999998,3.025
AND,2017,2.993,100.001,0.07499999999999998,1.725
AND,2018,3.217,101.285,0.076,1.525
AND,2019,3.155,102.036,0.078,1.775
AND,2020,2.885,102.298,0.078,2.85
AND,2021,3.33,104.035,0.08,2.875
AGO,1980,6.639,NA,8.91,NA
AGO,1981,6.214,NA,9.151,NA
AGO,1982,6.214,NA,9.393,NA
AGO,1983,6.476,NA,9.639,NA
AGO,1984,6.864,NA,9.894,NA
AGO,1985,8.457,NA,11.149,NA
AGO,1986,7.918,NA,11.467,NA
AGO,1987,9.05,NA,11.76,NA
AGO,1988,9.818,NA,12.079,NA
AGO,1989,11.421,NA,12.41,NA
AGO,1990,12.571,NA,12.742,NA
AGO,1991,12.186,NA,13.124,NA
AGO,1992,9.395,NA,13.518,NA
AGO,1993,6.819,NA,13.923,NA
AGO,1994,4.965,NA,14.341,NA
AGO,1995,6.197,0.001,14.771,NA
AGO,1996,7.994,0.027,15.214,NA
AGO,1997,9.388000000000002,0.08799999999999998,15.671,NA
AGO,1998,7.958,0.183,16.141,NA
AGO,1999,7.526,0.637,16.625,NA
AGO,2000,11.166,2.707,17.124,NA
AGO,2001,10.93,6.838,17.637,NA
AGO,2002,15.286,14.284,18.166,NA
AGO,2003,17.813,28.313,18.711,NA
AGO,2004,23.552,40.637,19.273,NA
AGO,2005,36.971,49.968,19.851,NA
AGO,2006,52.381,56.616,20.446,NA
AGO,2007,65.266,63.551,21.06,NA
AGO,2008,88.539,71.472,21.692,NA
AGO,2009,70.307,81.278,22.342,NA
AGO,2010,83.799,93.047,23.013,NA
AGO,2011,111.79,105.594,23.703,NA
AGO,2012,128.053,116.454,24.414,NA
AGO,2013,136.71,126.681,25.147,NA
AGO,2014,145.712,135.927,25.901,NA
AGO,2015,116.194,148.377,26.681,NA
AGO,2016,101.124,193.92,27.503,NA
AGO,2017,122.022,251.795,28.377,NA
AGO,2018,101.353,301.218,29.25,NA
AGO,2019,84.516,352.664,30.128,NA
AGO,2020,58.125,431.227,31.031,NA
AGO,2021,75.179,542.334,31.962,NA
ATG,1980,0.131,35.001,0.068,NA
ATG,1981,0.148,39.014,0.068,NA
ATG,1982,0.164,40.64,0.067,NA
ATG,1983,0.182,41.594,0.066,NA
ATG,1984,0.208,43.193,0.065,NA
ATG,1985,0.241,43.623,0.064,NA
ATG,1986,0.29,43.841,0.063,NA
ATG,1987,0.337,45.42,0.062,NA
ATG,1988,0.399,48.509,0.061,NA
ATG,1989,0.439,50.625,0.06,NA
ATG,1990,0.459,53.961,0.06,NA
ATG,1991,0.482,56.4,0.061,NA
ATG,1992,0.499,58.091,0.062,NA
ATG,1993,0.535,59.892,0.063,NA
ATG,1994,0.589,63.777,0.065,NA
ATG,1995,0.577,65.522,0.067,NA
ATG,1996,0.634,67.465,0.068,NA
ATG,1997,0.681,67.709,0.07,NA
ATG,1998,0.728,69.918,0.072,NA
ATG,1999,0.766,70.711,0.07399999999999998,NA
ATG,2000,0.8259999999999998,70.597,0.076,NA
ATG,2001,0.8,71.963,0.077,NA
ATG,2002,0.8139999999999998,73.696,0.078,NA
ATG,2003,0.856,75.165,0.078,NA
ATG,2004,0.92,76.691,0.079,NA
ATG,2005,1.023,78.29999999999998,0.08,NA
ATG,2006,1.158,79.7,0.081,NA
ATG,2007,1.313,80.82899999999998,0.082,NA
ATG,2008,1.37,85.14,0.083,NA
ATG,2009,1.228,84.67199999999998,0.084,NA
ATG,2010,1.149,87.525,0.085,NA
ATG,2011,1.138,90.551,0.08599999999999998,NA
ATG,2012,1.2,93.608,0.08699999999999998,NA
ATG,2013,1.181,94.6,0.08799999999999998,NA
ATG,2014,1.25,95.631,0.08899999999999998,NA
ATG,2015,1.337,96.557,0.091,NA
ATG,2016,1.437,96.085,0.092,NA
ATG,2017,1.468,98.422,0.094,NA
ATG,2018,1.606,99.614,0.095,NA
ATG,2019,1.688,101.04,0.096,NA
ATG,2020,1.37,102.109,0.098,NA
ATG,2021,1.471,103.77,0.099,NA
ARG,1980,233.696,NA,27.95,3
ARG,1981,189.802,NA,28.45,5
ARG,1982,94.25,NA,28.93,4.5
ARG,1983,116.267,NA,29.34,5
ARG,1984,130.544,NA,29.84,5
ARG,1985,98.599,NA,30.35,6.25
ARG,1986,118.565,NA,30.74,6.3
ARG,1987,121.561,NA,31.09,6
ARG,1988,142.386,NA,31.47,6.5
ARG,1989,91.352,NA,31.86,8
ARG,1990,158.024,NA,32.53,7.599999999999999
ARG,1991,211.979,NA,32.97,6.48
ARG,1992,255.787,NA,33.42,7.112
ARG,1993,264.429,NA,33.917,11.606
ARG,1994,287.835,NA,34.353,13.348
ARG,1995,288.497,NA,34.779,18.904
ARG,1996,304.282,NA,35.196,18.76
ARG,1997,327.436,26.468,35.604,16.808
ARG,1998,334.244,26.713,36.005,14.789
ARG,1999,316.998,26.401,36.399,16.061
ARG,2000,317.759,26.153,36.784,17.134
ARG,2001,300.421,25.875,37.156,19.209
ARG,2002,112.458,32.568,37.516,22.45
ARG,2003,142.431,36.946,37.87,17.25
ARG,2004,164.911,38.577,38.226,13.625
ARG,2005,199.273,42.297,38.592,11.575
ARG,2006,232.892,46.907,38.971,10.175
ARG,2007,287.921,51.049,39.356,8.474999999999998
ARG,2008,363.545,55.431,39.746,7.875
ARG,2009,334.633,58.907,40.134,8.675
ARG,2010,424.729,65.069,40.788,7.75
ARG,2011,527.644,71.43,41.261,7.15
ARG,2012,579.666,78.60299999999998,41.733,7.2
ARG,2013,611.471,86.95,42.203,7.075
ARG,2014,563.614,NA,42.67,7.25
ARG,2015,642.464,NA,43.132,6.533
ARG,2016,556.774,168.27,43.59,8.467
ARG,2017,643.861,211.473,44.045,8.349999999999998
ARG,2018,524.431,283.959,44.495,9.2
ARG,2019,451.815,436.015,44.939,9.825
ARG,2020,389.064,619.207,45.388,11.55
ARG,2021,486.702,918.961,45.842,8.724999999999998
ARM,1980,NA,NA,NA,NA
ARM,1981,NA,NA,NA,NA
ARM,1982,NA,NA,NA,NA
ARM,1983,NA,NA,NA,NA
ARM,1984,NA,NA,NA,NA
ARM,1985,NA,NA,NA,NA
ARM,1986,NA,NA,NA,NA
ARM,1987,NA,NA,NA,NA
ARM,1988,NA,NA,NA,NA
ARM,1989,NA,NA,NA,NA
ARM,1990,NA,NA,NA,NA
ARM,1991,NA,NA,NA,NA
ARM,1992,0.108,0.013,3.45,NA
ARM,1993,0.8349999999999999,0.497,3.37,NA
ARM,1994,0.648,26.706,3.29,NA
ARM,1995,1.287,73.90699999999998,3.22,NA
ARM,1996,1.597,87.693,3.17,NA
ARM,1997,1.639,100,3.14,NA
ARM,1998,1.892,108.687,3.11,NA
ARM,1999,1.845,109.472,3.09,NA
ARM,2000,1.912,108.625,3.08,NA
ARM,2001,2.118,112.057,3.06,38.4
ARM,2002,2.376,113.22,3.05,35.3
ARM,2003,2.807,118.522,3.04,31.2
