project,description,start_date,start_time,end_date,end_time,duration,type,effort_hours
Industry DDN,Writing,2022-08-15,09:30:11,2022-08-15,11:45:31,02:15:20,Research,2.2555555555555555
NA,Admin,2022-08-15,17:30:00,2022-08-15,19:00:00,01:30:00,Admin,1.5
Reading,Reading,2022-08-15,20:32:56,2022-08-15,21:14:07,00:41:11,Research,0.6863888888888889
NA,Admin,2022-08-16,10:04:42,2022-08-16,10:22:25,00:17:43,Admin,0.29527777777777775
Disfluency perception,Ethics,2022-08-16,10:27:05,2022-08-16,12:09:14,01:42:09,Research,1.7025
Disfluency perception,Meeting,2022-08-16,12:30:45,2022-08-16,13:00:57,00:30:12,Research,0.5033333333333333
NA,Admin,2022-08-16,13:30:05,2022-08-16,15:05:11,01:35:06,Admin,1.585
OAPerception,Meeting,2022-08-16,15:30:30,2022-08-16,16:30:42,01:00:12,Research,1.0033333333333334
OAPerception,Recruitment,2022-08-16,21:00:23,2022-08-16,21:15:35,00:15:12,Research,0.25333333333333335
Industry DDN,Writing,2022-08-16,21:14:03,2022-08-16,22:13:55,00:59:52,Research,0.9977777777777778
Cookie Lab,Lab Meeting,2022-08-17,10:00:55,2022-08-17,11:00:58,01:00:03,Other Activities,1.0008333333333332
NA,Admin,2022-08-17,11:30:26,2022-08-17,12:00:37,00:30:11,Admin,0.5030555555555556
OAPerception,Interview and prep,2022-08-17,14:50:56,2022-08-17,19:20:16,04:29:20,Research,4.488888888888889
OAPerception,Generate audio transcriptions,2022-08-17,21:00:30,2022-08-17,22:54:57,01:54:27,Research,1.9075
OAPerception,Transcribe P55,2022-08-18,09:00:43,2022-08-18,10:49:27,01:48:44,Research,1.8122222222222222
OAPerception,Interview P23,2022-08-18,10:50:42,2022-08-18,12:10:55,01:20:13,Research,1.3369444444444445
OAPerception,Device runner P66,2022-08-18,12:50:36,2022-08-18,13:40:44,00:50:08,Research,0.8355555555555556
OAPerception,Device runner P16,2022-08-18,13:50:26,2022-08-18,14:46:37,00:56:11,Research,0.9363888888888889
OAPerception,Meeting - data prep,2022-08-18,15:00:22,2022-08-18,15:40:40,00:40:18,Research,0.6716666666666666
OAPerception,Transcribe P55,2022-08-18,17:45:54,2022-08-18,19:46:13,02:00:19,Research,2.0052777777777777
OAPerception,Data prep - P55,2022-08-18,21:05:58,2022-08-18,22:21:52,01:15:54,Research,1.265
NA,Meeting - 1:1 Anastasia,2022-08-19,12:00:56,2022-08-19,13:40:17,01:39:21,Research,1.6558333333333333
OAPerception,Transcribe P23,2022-08-19,16:15:06,2022-08-19,18:51:32,02:36:26,Research,2.607222222222222
OAPerception,Device runner P33,2022-08-22,12:50:18,2022-08-22,13:50:27,01:00:09,Research,1.0025
OAPerception,Meeting - data analysis,2022-08-22,14:00:23,2022-08-22,14:50:42,00:50:19,Research,0.8386111111111111
OAPerception,Device runner P4,2022-08-22,14:53:14,2022-08-22,15:41:58,00:48:44,Research,0.8122222222222222
OAPerception,Interviewer P61,2022-08-22,17:00:27,2022-08-22,17:58:40,00:58:13,Research,0.9702777777777778
Disfluency perception,Ethics,2022-08-23,08:30:00,2022-08-23,09:00:00,00:30:00,Research,0.5
OAPerception,Device runner P89,2022-08-23,09:00:14,2022-08-23,09:55:01,00:54:47,Research,0.9130555555555555
Disfluency perception,Ethics,2022-08-23,10:00:16,2022-08-23,11:40:21,01:40:05,Research,1.6680555555555556
OAPerception,Avatars,2022-08-23,11:30:03,2022-08-23,12:19:13,00:49:10,Research,0.8194444444444444
NA,"Admin - TA, reimbursement",2022-08-23,14:00:00,2022-08-23,15:00:00,01:00:00,Admin,1
Cookie Lab,Lab Meeting,2022-08-24,10:00:00,2022-08-24,11:00:00,01:00:00,Other Activities,1
NA,Meeting - 1:1 Cosmin,2022-08-24,11:30:00,2022-08-24,12:00:00,00:30:00,Admin,0.5
NA,Admin - CUI reimbursement,2022-08-24,16:00:00,2022-08-24,17:45:00,01:45:00,Admin,1.75
OAPerception,P66 data prep; P55 coding,2022-08-24,22:30:00,2022-08-25,01:00:00,02:30:00,Research,2.5
